Leg 1 Type,Leg 1 Fixed Rate,Leg 1 Floating Index,Leg 1 Spread,Leg 1 Day Count Convention,Leg 1 Notional,Leg 1 Notional Currency,Leg 1 Payment Frequency,Leg1 Reset Frequency,Leg 2 Type,Leg 2 Fixed Rate,Leg 2 Floating Index,Leg 2 Spread,Leg 2 Day Count Convention,Leg 2 Notional,Leg 2 Notional Currency,Leg 2 Payment Frequency,Leg 2 Reset Frequency,Future Value Notional
Fixed,0.415,nan,0.0,ACT/365.FIXED,430000000.0,NZD,MTH,MTH,Float,0.0,NZD.NZD-NZIONA-OIS-COMPOUND.1T.NZD-NZIONA-OIS-COMPOUND,0.0,ACT/365.FIXED,430000000.0,NZD,MTH,MTH,0.0
Fixed,0.4725,nan,0.0,ACT/365.FIXED,420000000.0,NZD,MTH,MTH,Float,0.0,NZD.NZD-NZIONA-OIS-COMPOUND.1T.NZD-NZIONA-OIS-COMPOUND,0.0,ACT/365.FIXED,420000000.0,NZD,MTH,MTH,0.0
Fixed,0.4725,nan,0.0,ACT/365.FIXED,550000000.0,NZD,MTH,MTH,Float,0.0,NZD.NZD-NZIONA-OIS-COMPOUND.1T.NZD-NZIONA-OIS-COMPOUND,0.0,ACT/365.FIXED,550000000.0,NZD,MTH,MTH,0.0
Fixed,0.4725,nan,0.0,ACT/365.FIXED,460000000.0,NZD,MTH,MTH,Float,0.0,NZD.NZD-NZIONA-OIS-COMPOUND.1T.NZD-NZIONA-OIS-COMPOUND,0.0,ACT/365.FIXED,460000000.0,NZD,MTH,MTH,0.0
Fixed,0.4725,nan,0.0,ACT/365.FIXED,580000000.0,NZD,MTH,MTH,Float,0.0,NZD.NZD-NZIONA-OIS-COMPOUND.1T.NZD-NZIONA-OIS-COMPOUND,0.0,ACT/365.FIXED,580000000.0,NZD,MTH,MTH,0.0
Fixed,0.4725,nan,0.0,ACT/365.FIXED,370000000.0,NZD,MTH,MTH,Float,0.0,NZD.NZD-NZIONA-OIS-COMPOUND.1T.NZD-NZIONA-OIS-COMPOUND,0.0,ACT/365.FIXED,370000000.0,NZD,MTH,MTH,0.0
Fixed,0.415,nan,0.0,ACT/365.FIXED,550000000.0,NZD,MTH,MTH,Float,0.0,NZD.NZD-NZIONA-OIS-COMPOUND.1T.NZD-NZIONA-OIS-COMPOUND,0.0,ACT/365.FIXED,550000000.0,NZD,MTH,MTH,0.0
Fixed,0.415,nan,0.0,ACT/365.FIXED,580000000.0,NZD,MTH,MTH,Float,0.0,NZD.NZD-NZIONA-OIS-COMPOUND.1T.NZD-NZIONA-OIS-COMPOUND,0.0,ACT/365.FIXED,580000000.0,NZD,MTH,MTH,0.0
Fixed,0.415,nan,0.0,ACT/365.FIXED,360000000.0,NZD,MTH,MTH,Float,0.0,NZD.NZD-NZIONA-OIS-COMPOUND.1T.NZD-NZIONA-OIS-COMPOUND,0.0,ACT/365.FIXED,360000000.0,NZD,MTH,MTH,0.0
Fixed,0.7515,nan,0.0,ACT/365.FIXED,9000000.0,GBP,MTH,MTH,Float,0.0,GBP.GBP-SONIA-COMPOUND.1Y.GBP-SONIA-COMPOUND,0.0,ACT/365.FIXED,9000000.0,GBP,MTH,MTH,0.0
Fixed,1.435,nan,0.0,ACT/365.FIXED,24000000.0,PLN,MTH,MTH,Float,0.0,PLN.PLN-WIBOR-WIBO.6M.PLN-WIBOR-WIBO,0.0,ACT/365.FIXED,24000000.0,PLN,MTH,MTH,0.0
Fixed,0.747,nan,0.0,ACT/365.FIXED,14000000.0,GBP,MTH,MTH,Float,0.0,GBP.GBP-SONIA-COMPOUND.1Y.GBP-SONIA-COMPOUND,0.0,ACT/365.FIXED,14000000.0,GBP,MTH,MTH,0.0
Fixed,5.62,nan,0.0,ACT/360,2000000000.0,MXN,MTH,MTH,Float,0.0,MXN.MXN-TIIE-Banxico.28D.MXN-TIIE-Banxico,0.0,ACT/360,2000000000.0,MXN,MTH,MTH,0.0
Fixed,1.05977,nan,0.0,ACT/360,31000000.0,USD,MTH,MTH,Float,0.0,USD.USD-LIBOR-BBA.3M.USD-LIBOR-BBA,0.0,ACT/360,31000000.0,USD,MTH,MTH,0.0
Fixed,1.05977,nan,0.0,ACT/360,31000000.0,USD,MTH,MTH,Float,0.0,USD.USD-LIBOR-BBA.3M.USD-LIBOR-BBA,0.0,ACT/360,31000000.0,USD,MTH,MTH,0.0
Fixed,1.901,nan,0.0,1/1,10000000.0,USD,MTH,MTH,Float,0.0,USD.USA-CPI-U.5Y.USA-CPI-U,0.0,1/1,10000000.0,USD,MTH,MTH,0.0
Fixed,2.0091,nan,0.0,1/1,10000000.0,USD,MTH,MTH,Float,0.0,USD.USA-CPI-U.10Y.USA-CPI-U,0.0,1/1,10000000.0,USD,MTH,MTH,0.0
Fixed,1.875,nan,0.0,1/1,5000000.0,USD,MTH,MTH,Float,0.0,USD.USA-CPI-U.5Y.USA-CPI-U,0.0,1/1,5000000.0,USD,MTH,MTH,0.0
Fixed,2.065,nan,0.0,1/1,5000000.0,USD,MTH,MTH,Float,0.0,USD.USA-CPI-U.10Y.USA-CPI-U,0.0,1/1,5000000.0,USD,MTH,MTH,0.0
Fixed,2.139,nan,0.0,1/1,26000000.0,USD,MTH,MTH,Float,0.0,USD.USA-CPI-U.10Y.USA-CPI-U,0.0,1/1,26000000.0,USD,MTH,MTH,0.0
Fixed,1.99,nan,0.0,1/1,26000000.0,USD,MTH,MTH,Float,0.0,USD.USA-CPI-U.5Y.USA-CPI-U,0.0,1/1,26000000.0,USD,MTH,MTH,0.0
Fixed,2.63,nan,0.0,1/1,38000000.0,USD,MTH,MTH,Float,0.0,USD.USA-CPI-U.10Y.USA-CPI-U,0.0,1/1,38000000.0,USD,MTH,MTH,0.0
Fixed,2.7675,nan,0.0,1/1,38000000.0,USD,MTH,MTH,Float,0.0,USD.USA-CPI-U.5Y.USA-CPI-U,0.0,1/1,38000000.0,USD,MTH,MTH,0.0
Fixed,2.47,nan,0.0,1/1,3000000.0,USD,MTH,MTH,Float,0.0,USD.USA-CPI-U.10Y.USA-CPI-U,0.0,1/1,3000000.0,USD,MTH,MTH,0.0
Fixed,2.61,nan,0.0,1/1,3000000.0,USD,MTH,MTH,Float,0.0,USD.USA-CPI-U.5Y.USA-CPI-U,0.0,1/1,3000000.0,USD,MTH,MTH,0.0
Fixed,0.79,nan,0.0,ACT/365.FIXED,580000000.0,NZD,MTH,MTH,Float,0.0,NZD.NZD-NZIONA-OIS-COMPOUND.1T.NZD-NZIONA-OIS-COMPOUND,0.0,ACT/365.FIXED,580000000.0,NZD,MTH,MTH,0.0
Fixed,0.4675,nan,0.0,ACT/365.FIXED,580000000.0,NZD,MTH,MTH,Float,0.0,NZD.NZD-NZIONA-OIS-COMPOUND.1T.NZD-NZIONA-OIS-COMPOUND,0.0,ACT/365.FIXED,580000000.0,NZD,MTH,MTH,0.0
Fixed,0.46628,nan,0.0,ACT/360,30000000.0,EUR,MTH,MTH,Float,0.0,EUR.EUR-EURIBOR-Reuters.6M.EUR-EURIBOR-Reuters,0.0,ACT/360,30000000.0,EUR,MTH,MTH,0.0
Fixed,1.18,nan,0.0,ACT/365.FIXED,26000000.0,NZD,MTH,MTH,Float,0.0,NZD.NZD-BBR-FRA.3M.NZD-BBR-FRA,0.0,ACT/365.FIXED,26000000.0,NZD,MTH,MTH,0.0
Fixed,0.4683,nan,0.0,ACT/360,21000000.0,EUR,MTH,MTH,Float,0.0,EUR.EUR-EURIBOR-Reuters.6M.EUR-EURIBOR-Reuters,0.0,ACT/360,21000000.0,EUR,MTH,MTH,0.0
Fixed,0.0415,nan,0.0,ACT/360,52000000.0,EUR,MTH,MTH,Float,0.0,EUR.EUR-EURIBOR-Reuters.6M.EUR-EURIBOR-Reuters,0.0,ACT/360,52000000.0,EUR,MTH,MTH,0.0
Fixed,1.5675,nan,0.0,ACT/365.FIXED,13000000.0,NZD,MTH,MTH,Float,0.0,NZD.NZD-BBR-FRA.3M.NZD-BBR-FRA,0.0,ACT/365.FIXED,13000000.0,NZD,MTH,MTH,0.0
Fixed,0.3525,nan,0.0,ACT/365.FIXED,100000000.0,GBP,MTH,MTH,Float,0.0,GBP.GBP-SONIA-COMPOUND.1Y.GBP-SONIA-COMPOUND,0.0,ACT/365.FIXED,100000000.0,GBP,MTH,MTH,0.0
Fixed,1.643,nan,0.0,ACT/360,47000000.0,USD,MTH,MTH,Float,0.0,USD.USD-LIBOR-BBA.3M.USD-LIBOR-BBA,0.0,ACT/360,47000000.0,USD,MTH,MTH,0.0
Fixed,1.94719,nan,0.0,ACT/360,160000000.0,USD,MTH,MTH,Float,0.0,USD.USD-LIBOR-BBA.3M.USD-LIBOR-BBA,0.0,ACT/360,160000000.0,USD,MTH,MTH,0.0
Fixed,1.07946,nan,0.0,ACT/360,700000000.0,USD,MTH,MTH,Float,0.0,USD.USD-LIBOR-BBA.3M.USD-LIBOR-BBA,0.0,ACT/360,700000000.0,USD,MTH,MTH,0.0
Fixed,1.61252,nan,0.0,ACT/360,240000000.0,USD,MTH,MTH,Float,0.0,USD.USD-LIBOR-BBA.3M.USD-LIBOR-BBA,0.0,ACT/360,240000000.0,USD,MTH,MTH,0.0
Fixed,1.62558,nan,0.0,ACT/360,240000000.0,USD,MTH,MTH,Float,0.0,USD.USD-LIBOR-BBA.3M.USD-LIBOR-BBA,0.0,ACT/360,240000000.0,USD,MTH,MTH,0.0
Fixed,1.09994,nan,0.0,ACT/360,700000000.0,USD,MTH,MTH,Float,0.0,USD.USD-LIBOR-BBA.3M.USD-LIBOR-BBA,0.0,ACT/360,700000000.0,USD,MTH,MTH,0.0
Fixed,1.95282,nan,0.0,ACT/360,160000000.0,USD,MTH,MTH,Float,0.0,USD.USD-LIBOR-BBA.3M.USD-LIBOR-BBA,0.0,ACT/360,160000000.0,USD,MTH,MTH,0.0
Fixed,0.547,nan,0.0,ACT/360,250000000.0,USD,MTH,MTH,Float,0.0,USD.USD-LIBOR-BBA.3M.USD-LIBOR-BBA,0.0,ACT/360,250000000.0,USD,MTH,MTH,0.0
Fixed,1.077,nan,0.0,ACT/360,250000000.0,USD,MTH,MTH,Float,0.0,USD.USD-LIBOR-BBA.3M.USD-LIBOR-BBA,0.0,ACT/360,250000000.0,USD,MTH,MTH,0.0
Fixed,1.3025,nan,0.0,ACT/365.FIXED,18000000.0,NZD,MTH,MTH,Float,0.0,NZD.NZD-BBR-FRA.3M.NZD-BBR-FRA,0.0,ACT/365.FIXED,18000000.0,NZD,MTH,MTH,0.0
Fixed,1.4845,nan,0.0,ACT/360,90000000.0,USD,MTH,MTH,Float,0.0,USD.USD-LIBOR-BBA.3M.USD-LIBOR-BBA,0.0,ACT/360,90000000.0,USD,MTH,MTH,0.0
Fixed,5.045,nan,0.0,ACT/365.FIXED,1000000000.0,INR,MTH,MTH,Float,0.0,INR.INR-FBIL-MIBOR-OIS-COMPOUND.6M.INR-FBIL-MIBOR-OIS-COMPOUND,0.0,ACT/365.FIXED,1000000000.0,INR,MTH,MTH,0.0
Fixed,5.405,nan,0.0,ACT/365.FIXED,850000000.0,INR,MTH,MTH,Float,0.0,INR.INR-FBIL-MIBOR-OIS-COMPOUND.6M.INR-FBIL-MIBOR-OIS-COMPOUND,0.0,ACT/365.FIXED,850000000.0,INR,MTH,MTH,0.0
